"","name","partito","s_office","e_office"
"104","BRUNO BOSSIO VINCENZA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"105","BRUNO RAFFAELE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"106","BUBISUTTI AURELIA","LEGA - SALVINI PREMIER (26.07.2018)","20180726",NA
"107","BUCALO CARMELA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"108","BUFFAGNI STEFANO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"109","BUOMPANE GIUSEPPE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"110","BURATTI UMBERTO","PARTITO DEMOCRATICO (26.09.2018)","20180926",NA
"111","BUSINAROLO FRANCESCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"112","BUTTI ALESSIO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"113","CABRAS PINO","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"114","CABRAS PINO","MISTO (19.02.2021)","20210219",NA
"115","CADEDDU LUCIANO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"116","CAFFARATTO GUALTIERO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"117","CAIATA SALVATORE","MISTO (27.03.2018-14.05.2019)","20180327","20190514"
"118","CAIATA SALVATORE","FRATELLI D'ITALIA (14.05.2019)","20190514",NA
"119","CALABRIA ANNAGRAZIA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"120","CAMPANA MICAELA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"121","CANCELLERI AZZURRA PIA MARIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"122","CANNATELLI PASQUALE PIO GRAZIANO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"123","CANNIZZARO FRANCESCO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"124","CANTALAMESSA GIANLUCA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"125","CANTINI LAURA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"126","CANTONE CARLA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"127","CANTONE LUCIANO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"128","CAON ROBERTO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"129","CAPARVI VIRGINIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"130","CAPITANIO MASSIMILIANO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"131","CAPPELLACCI UGO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"132","CAPPELLANI SANTI","MISTO (14.01.2020-19.02.2020)","20200114","20200219"
"133","CAPPELLANI SANTI","MOVIMENTO 5 STELLE (27.03.2018-14.01.2020)","20180327","20200114"
"134","CAPPELLANI SANTI","PARTITO DEMOCRATICO (19.02.2020)","20200219",NA
"135","CARABETTA LUCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"136","CARBONARO ALESSANDRA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"137","CARDINALE DANIELA","PARTITO DEMOCRATICO (27.03.2018-13.06.2019)","20180327","20190613"
"138","CARDINALE DANIELA","MISTO (13.06.2019)","20190613",NA
"139","CARE' NICOLA","ITALIA VIVA (19.09.2019-30.09.2020)","20190919","20200930"
"140","CARE' NICOLA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"141","CARE' NICOLA","PARTITO DEMOCRATICO (30.09.2020)","20200930",NA
"142","CARELLI EMILIO","MISTO (04.02.2021-08.06.2021)","20210204","20210608"
"143","CARELLI EMILIO","MOVIMENTO 5 STELLE (27.03.2018-04.02.2021)","20180327","20210204"
"144","CARELLI EMILIO","CORAGGIO ITALIA (08.06.2021)","20210608",NA
"145","CARETTA MARIA CRISTINA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"146","CARFAGNA MARIA ROSARIA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"147","CARINELLI PAOLA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"148","CARNEVALI ELENA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"149","CARRARA MAURIZIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-19.11.2020)","20180327","20201119"
"150","CARRARA MAURIZIO","LEGA - SALVINI PREMIER (19.11.2020)","20201119",NA
"151","CASA VITTORIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"152","CASCIELLO LUIGI","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"153","CASINO MICHELE","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"154","CASO ANDREA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"155","CASSESE GIANPAOLO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"156","CASSINELLI ROBERTO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"157","CASTELLI LAURA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"158","CASTIELLO GIUSEPPINA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"159","CASU ANDREA","PARTITO DEMOCRATICO (11.10.2021)","20211011",NA
"160","CATALDI ROBERTO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"161","CATTANEO ALESSANDRO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"162","CATTOI MAURIZIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"163","CATTOI VANESSA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"164","CAVANDOLI LAURA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"165","CECCANTI STEFANO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"166","CECCHETTI FABRIZIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"167","CECCONI ANDREA","MISTO (27.03.2018)","20180327",NA
"168","CENNI SUSANNA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
